5505024	5505029
5799936	5799937
6140625	6140628
6193152	6193156
6881280	6881283
7525474	7525480
7540115	7540117
7569408	7569410
7671884	7671888
8168446	8168458
8257536	8257537
8945664	8945664
8974938	8974946
9625000	9625000
9764867	9764877
9781250	9781261
11632653	11632653
16218755	16218763
16336892	16336903
17734383	17734388
17949876	17949879
19529734	19529741
19562500	19562509
20021261	20021261
20332544	20332552
21156250	21156258
22134784	22134788
23328125	23328129
23580234	23580234
24505338	24505348
25548545	25548547
27260955	27260967
27359375	27359383
28828129	28828138
29294601	29294605
30941687	30941689
32673784	32673793
39059468	39059469
49010676	49010683
57656258	57656263
64290816	64290824
73516014	73516018
83984384	83984388
86484387	86484388
98021352	98021353
156893193	156893197
181796875	181796877
207734382	207734388
278828130	278828138
313727348	313727350
409536179	409536182
1051721739	1051721741
2061328129	2061328138
2553806848	2553806856
5107613696	5107613699
150328715677	150328715683
52346256097291	52346256097293
