case,size,det_mod_65521,full_augmented
1010,226,17376,1
1011,226,23735,1
1012,226,4538,1
1013,226,55034,1
1014,226,40240,1
1015,226,48962,1
1016,226,17655,1
1017,226,30007,1
1018,226,47788,1
1019,226,10173,1
1020,226,42222,1
1021,226,42111,1
1022,226,29260,1
1023,226,33974,1
1024,226,11222,1
1025,226,10511,1
1026,226,56492,1
1027,226,949,1
1028,226,49319,1
1029,226,54563,1
1030,226,10258,1
1031,226,53982,1
1032,226,47158,1
1033,226,61315,1
1034,226,1085,1
1035,226,24668,1
1036,226,1663,1
1037,226,54401,1
1038,226,17570,1
1039,226,49634,1
1040,226,49073,1
1041,226,63808,1
1042,226,39524,1
1043,226,8855,1
1044,226,10623,1
1045,226,21044,1
1046,226,20878,1
1047,226,7534,1
1048,226,12466,1
1049,226,39982,1
1050,226,13787,1
1051,226,20593,1
1052,226,52067,1
1053,226,26753,1
1054,226,38755,1
1055,226,42301,1
1056,226,49790,1
1057,226,57656,1
1058,226,21839,1
1059,226,36608,1
1060,226,24094,1
1061,226,42367,1
1062,226,48254,1
1063,226,38278,1
1064,226,48225,1
1065,226,16313,1
1066,226,5671,1
1067,226,45078,1
1068,226,57058,1
1069,226,42411,1
1070,226,62476,1
1071,226,24116,1
1072,226,63387,1
1073,226,27153,1
1074,226,34044,1
1075,226,61419,1
1076,226,7990,1
1077,226,49704,1
1078,226,20157,1
1079,226,55510,1
1080,226,57642,1
1081,226,9832,1
1082,226,11160,1
1083,226,4176,1
1084,226,62801,1
1085,226,35887,1
1086,226,20073,1
1087,226,61668,1
1088,226,7714,1
1089,226,55492,1
1090,226,65239,1
1091,226,12275,1
1092,226,61554,1
1093,226,23111,1
1094,226,40029,1
1095,226,50557,1
1096,226,3093,1
1097,226,20742,1
1098,226,2060,1
1099,226,8917,1
1100,226,61886,1
1101,226,53045,1
1102,226,25640,1
1103,226,34016,1
1104,226,56377,1
1105,226,28563,1
1106,226,59605,1
1107,226,35875,1
1108,226,763,1
1109,226,61733,1
1110,226,16785,1
1111,226,16075,1
1112,226,653,1
1113,226,2589,1
1114,226,8184,1
1115,226,25804,1
1116,226,24149,1
1117,226,58906,1
1118,226,13760,1
1119,226,23398,1
1120,226,64952,1
